Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
B,"Kumar, NM; Sudhakar, K; Samykano, M; Hyder, F",,,IEEE,"Kumar, Nallapaneni Manoj; Sudhakar, K.; Samykano, M.; Hyder, Farhan",,,BIPV Power Plants and Policy Recommendations,2018 4TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENERGY SYSTEMS (ICEES),,,,,4th International Conference on Electrical Energy Systems (ICEES),"FEB 07-09, 2018","SSN Coll Engn, Dept Elect & Electron Engneering, Chennai, INDIA","IEEE Madras Sect, IEEE Power Electron Soc, Dept Elect & Electron Engn, SSN","SSN Coll Engn, Dept Elect & Electron Engneering",,,"The radiant light energy from the sun is converted into useful electricity using photovoltaic technology. Harnessing solar energy is simple and easy operation with the installation of PV modules in various configurations (open rack, roof mount, tracking, building integrated, building applied, floating). Among these configurations, BIPV is the most trending and ecologically efficient installation methods. This paper presents a study on the building integrated photovoltaic systems with the electric power system classification. This classification includes on-grid, off-grid, and hybrid BIPV power plants. The studied three classifications were compared in terms of the operation, components, installation configuration etc. General recommendations and various policy options for BIPV are also discussed. This study shows, BIPV power systems discussed in three combinations would contribute to the energy needs of the developed/developing nations by adding pleasing look to the buildings without having negative impacts on the ecology.",,,,"Kumar, Nallapaneni Manoj/R-8605-2018; Sudhakar, K/M-6232-2015","Kumar, Nallapaneni Manoj/0000-0002-7382-7784; Sudhakar, K/0000-0002-4867-2362",,,,,,,,,,,,,,978-1-5386-3695-4,,,,2018,,,,,,,652,655,,,,,,,,,WOS:000455392700116,,,,,,
J,"Pelle, M; Lucchi, E; Maturi, L; Astigarraga, A; Causone, F",,,,"Pelle, Martina; Lucchi, Elena; Maturi, Laura; Astigarraga, Alexander; Causone, Francesco",,,Coloured BIPV Technologies: Methodological and Experimental Assessment for Architecturally Sensitive Areas,ENERGIES,,,,,,,,,,,,"Energy flexibility in buildings is gaining momentum with the introduction of new European directives that enable buildings to manage their own energy demand and production, by storing, consuming or selling electricity according to their need. The transition towards a low-carbon energy system, through the promotion of on-site energy production and enhancement of self-consumption, can be supported by building-integrated photovoltaics (BIPV) technologies. This paper investigates the aesthetic and technological integration of hidden coloured PV modules in architecturally sensitive areas that seem to be the best possibility to favour a balance between conservation and energy issues. First, a multidisciplinary methodology for evaluating the aesthetic and technical integration of PV systems in architecturally sensitive area is proposed, referring to the technologies available on the market. Second, the experimental characterisation of the technical performance specific BIPV modules and their comparison with standard modules under standard weather condition are analysed, with the aim of acquiring useful data for comparing the modules' integration properties and performance. For this purpose, new testbeds have been set up to investigate the aesthetic integration and the energy performances of innovative BIPV products. The paper describes the analyses carried out to define the final configuration of these experimental testbeds. Finally, the experimental characterisation at standard test conditions of two coloured BIPV modules is presented and the experimental design for the outdoor testing is outlined.",,,,"Lucchi, Elena/AAR-9281-2020","PELLE, MARTINA/0000-0001-6954-4979; Causone, Francesco/0000-0002-8694-7232",,,,,,,,,,,,,1996-1073,,,,SEP,2020,13,17,,,,,,,4506,10.3390/en13174506,,,,,,,WOS:000569961600001,,,,,,
S,"Pellegrino, M; Flaminio, G; Graditi, G",,,IEEE,"Pellegrino, Michele; Flaminio, Giovanni; Graditi, Giorgio",,,Testing and Standards for New BIPV Products,39TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY (IECON 2013),IEEE Industrial Electronics Society,,,,39th Annual Conference of the IEEE Industrial-Electronics-Society (IECON),"NOV 10-14, 2013","Vienna, AUSTRIA","IEEE Ind Elect Soc, Inst Elect & Elect Engineers, Austrian Inst Technol, Vienna Univ Technol",,,,"BIPV components provide added values to the building and for this application they should be designed to perform functions as defined in the REGULATION (EU) No 305/2011 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 9 March 2011. So the need for new BIPV products strongly exists and specific standards and testing must be appointed. At the moment the prEN 50583: 2012 is just in preparation at European level. It contains links to existing Standards already applied for traditional building components. This paper gives an overview of the general requirements imposed by this Standard, introduces the European project Bfirst, aimed to realize specific BIPV products, and present preliminary results made at ENEA on traditional modules for optical and thermal requirements that could be applied to new BIPV products.",,,,,,,,,,,,,,,,,1553-572X,,978-1-4799-0224-8,,,,2013,,,,,,,8127,8132,,,,,,,,,WOS:000331149507148,,,,,,
S,"Tabakovic, M; Fechner, H; van Sark, W; Louwen, A; Georghiou, G; Makrides, G; Loucaidou, E; Ioannidou, M; Weiss, I; Arancon, S; Betz, S",,"Howlett, R; Capozzoli, A; Serra, V",,"Tabakovic, Momir; Fechner, Hubert; van Sark, Wilfried; Louwen, Atse; Georghiou, George; Makrides, George; Loucaidou, Eliza; Ioannidou, Monica; Weiss, Ingrid; Arancon, Sofia; Betz, Stephanie",,,Status and outlook for building integrated photovoltaics (BIPV) in relation to educational needs in the BIPV sector,"8TH INTERNATIONAL CONFERENCE ON SUSTAINABILITY IN ENERGY AND BUILDINGS, SEB-16",Energy Procedia,,,,8th International Conference on Sustainability in Energy and Buildings (SEB),"SEP 11-13, 2016","Politecnico Torino, Turin, ITALY",,Politecnico Torino,,,"This paper reviews the present status and outlook of the building integrated photovoltaics (BIPV) market on a global and European scale. In particular, it provides a comprehensive review of the market situation and the future trends for Austria, Cyprus, France, Germany, Italy and the Netherlands until the year 2020. In addition, as education is seen as one of the barriers for BIPV deployment, results of a survey are presented that was conducted among BIPV stakeholders with the aim to identify major knowledge gaps in education and target audiences as well as teaching goals. From that potential courses dedicated to the needs of each target audience related to BIPV can be developed. (C) 2017 The Authors. Published by Elsevier Ltd.",,,,"van Sark, Wilfried G.J.H.M./C-5009-2009","van Sark, Wilfried G.J.H.M./0000-0002-4738-1088; Louwen, Atse/0000-0003-0595-8720",,,,,,,,,,,,1876-6102,,,,,,2017,111,,,,,,1003,1009,,10.1016/j.egypro.2017.03.262,,,,,,,WOS:000400643800102,,,,,,
B,"Jin, Y; Song, XF; Yu, XJ",,,SCI RES PUBL,Jin Yong; Song Xiufen; Yu Xuejiao,,,Appliance and Policy of Building Integrated Photovoltaic (BIPV),"EBM 2010: INTERNATIONAL CONFERENCE ON ENGINEERING AND BUSINESS MANAGEMENT, VOLS 1-8",,,,,International Conference on Engineering and Business Management,"MAR 25-27, 2010","Chengdu, PEOPLES R CHINA","Wuhan Univ, James Madison Univ, Sci Res Publishing",,,,"This paper puts forward the necessity of development of BIPV through information-gathering method, interview method and other methods, and introduces nowadays domestic and abroad development situations, several forms and its superiors, as well as BIPV special demand for solar battery and development strategies for solar buildings. The paper also analyzes the impact of our policies on BIPV, and puts forward the outlook of BIPV finally.",,,,,,,,,,,,,,,,,,,978-1-935068-05-1,,,,2010,,,,,,,3392,3395,,,,,,,,,WOS:000276079501252,,,,,,
J,"Lai, CM; Lin, YP",,,,"Lai, Chi-Ming; Lin, Yi-Pin",,,Energy Saving Evaluation of the Ventilated BIPV Walls,ENERGIES,,,,,,,,,,,,"This study integrates photovoltaic (PV) system, building structure, and heat flow mechanism to propose the notion of ventilated Building-Integrated Photovoltaic (BIPV) walls. The energy-saving potential of the ventilated BIPV walls was investigated via engineering considerations and computational fluid dynamics (CFD) simulations. The results show that the heat removal rate and indoor heat gain of the proposed ventilated BIPV walls were dominantly affected by outdoor wind velocity and airflow channel width. Correlations for predicting the heat removal rate and indoor heat gain, the reduction ratio of the indoor heat gain, CO(2) reduction, and induced indoor air exchange are introduced.",,,,"Lai, Chi-Ming/N-7038-2015","Lai, Chi-Ming/0000-0003-3265-5637",,,,,,,,,,,,1996-1073,,,,,JUN,2011,4,6,,,,,948,959,,10.3390/en4060948,,,,,,,WOS:000292026700006,,,,,,
J,"Peng, CH; Huang, Y; Wu, ZS",,,,"Peng, Changhai; Huang, Ying; Wu, Zhishen",,,Building-integrated photovoltaics (BIPV) in architectural design in China,ENERGY AND BUILDINGS,,,,,,,,,,,,"Building-Integrated Photovoltaics (BIPV) are one of the best ways to harness solar power, which is the most abundant, inexhaustible and clean of all the available energy resources. This paper discusses issues concerning BIPV in architectural design in China, including how to choose between BIPV and building-attached photovoltaics (BAPV), whether it is necessary for photovoltaic components to last as long as buildings and how to design BIPV structures. The paper shows that we should consider the function, cost, technology and aesthetics of BIPV, rather than solely the high integrations. According to developments in technology and markets, photovoltaic structures and design should be focused on the maintenance and replacement of photovoltaic cell modules, rather than simply prolonging their lives. To solve problems associated with the existing photovoltaic structures in China, we design a building photovoltaic structure that allows convenient maintenance and replacement of photovoltaic components. (C) 2011 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0378-7788,1872-6178,,,,DEC,2011,43,12,,,,,3592,3598,,10.1016/j.enbuild.2011.09.032,,,,,,,WOS:000298268600035,,,,,,
J,"Shukla, AK; Sudhakar, K; Baredar, P",,,,"Shukla, Akash Kumar; Sudhakar, K.; Baredar, Prashant",,,Recent advancement in BIPV product technologies: A review,ENERGY AND BUILDINGS,,,,,,,,,,,,"Application of building integrated photovoltaic (BIPV) technology in the building envelope gives an aesthetical and modern appearance. BIPV is a practical, innovative and promising technology for net zero emission buildings. This paper introduces the best in class of the BIPV products and their properties along with international guidelines and testing standards. BIPV products for rooftops, facades and windows have been highlighted in this paper. The properties of BIPV products incorporate solar PV efficiency, V-oc, I-sc, P-max and fill factor (FF). The life cycle sustainable assessment of BIPV module has been reviewed by examining energy payback time and GHG emission. (C) 2017 Elsevier B.V. All rights reserved.",,,,"Baredar, Prashant/AAF-4035-2020; Sudhakar, K/M-6232-2015","Sudhakar, K/0000-0002-4867-2362",,,,,,,,,,,,0378-7788,1872-6178,,,,APR 1,2017,140,,,,,,188,195,,10.1016/j.enbuild.2017.02.015,,,,,,,WOS:000396947500017,,,,,,
J,"Kuhn, TE; Erban, C; Heinrich, M; Eisenlohr, J; Ensslen, F; Neuhaus, DH",,,,"Kuhn, Tilmann E.; Erban, Christof; Heinrich, Martin; Eisenlohr, Johannes; Ensslen, Frank; Neuhaus, Dirk Holger",,,Review of technological design options for building integrated photovoltaics (BIPV),ENERGY AND BUILDINGS,,,,,,,,,,,,"This paper reviews and analyzes technological design options, which have become available to date for BIPV systems on roofs and facades, independently of specific products or building projects. This means that this survey does not analyze existing products or realized buildings, but provides an overview of the technologies for BIPV. The starting point is an analysis of the relevance of BIPV technologies for the decarbonization of energy systems, providing energy for direct use of electricity and sector coupling together with an analysis of the German BIPV market. The paper presents the wide range of technical design options for BIPV systems and categorizes and analyzes them to provide a structured overview. This comprises a detailed analysis of the design options for BIPV modules, in which not only the design options for the PV cell layer were comprehensively investigated, but also the different variants of embedding materials, front and rear cover materials, additional interlayers and electrical module layout. Two fundamental module-level design options were investigated in particular detail: The use of PV cells as basic elements of patterns and the use of color to conceal the PV cells. Subsequently, options for the design of complete electrical systems are reviewed, ranging from sub-module level design parameters to building energy systems. Design options for the constructional integration of BIPV modules in the building envelope complete the review of technological design possibilities. (C) 2020 The Authors. Published by Elsevier B.V.",,,,,"Eisenlohr, Johannes/0000-0002-9214-628X",,,,,,,,,,,,0378-7788,1872-6178,,,,JAN 15,2021,231,,,,,,,,110381,10.1016/j.enbuild.2020.110381,,,,,,,WOS:000604965300001,,,,,,
J,"Shukla, AK; Sudhakar, K; Baredar, P; Mamat, R",,,,"Shukla, Akash Kumar; Sudhakar, K.; Baredar, Prashant; Mamat, R.",,,BIPV based sustainable building in South Asian countries,SOLAR ENERGY,,,,,,,,,,,,"In building integrated photovoltaic (BIPV) systems, PV elements are integrated along with the building which often serves as the exterior weathering skin. PV researchers from various countries have been working for several years to optimize these systems. Sustainable BIPV system has many benefits such as the building itself becomes the PV support structure, and the BIPV components displace the conventional building materials and labor cost, thereby reducing the net installed cost of the PV system and building construction. It also provides on-site generation of electricity and architectural elegance, which increases the market acceptance of the buildings. The BIPV systems can be interfaced with the available utility grid or used as off-grid systems. This paper identifies sustainable building concept in South Asian countries and role of BIPV applications in sustainable building. This article gives review of BIPV applications in South Asian countries. Finally, Barrier and challenges of BIPV system have been discussed and future direction is highlighted.",,,,"Baredar, Prashant/AAF-4035-2020; Sudhakar, K/M-6232-2015; Mamat, Rizalman/G-2683-2011","Sudhakar, K/0000-0002-4867-2362; ",,,,,,,,,,,,0038-092X,,,,,AUG,2018,170,,,,,,1162,1170,,10.1016/j.solener.2018.06.026,,,,,,,WOS:000442713900104,,,,,,
