,Lens ID,title,publication_year,abstract,tags,url,publication_type,affiliation,country_code
0,017-218-924-758-129,Trade-off between environmental and economic implications of PV systems integrated into the UAE residential sector,2012,"PV technology offers clean resource and environmental advantages over fossil-fuel-based electricity generation; however, it remains more expensive than conventional technology in most grid-connected applications. The trade-off between environmental and economic parameters represents a challenge for governments. The objectives of this study are: firstly, to review studies in relation to the use of PV systems in the Gulf region and secondly, to assess the trade-off between environmental and economic parameters that influence the value of building integrated photovoltaic (BiPV) technology applied into the UAE building sector. This work examines residential buildings and concludes that the economic viability of BiPV systems is subject to capital cost, system efficiency and electricity tariff. To be a cost-effective option in the UAE, subsidies for PV investments and reasonable electricity tariff must be implemented. It is suggested that BiPV systems offer cost reductions in both energy and economic terms over centralised PV plants, especially if the costs of saved operating energy and avoided building materials are taken into account. Each square meter of BiPV is capable of making a significant reduction in CO2 emissions generated by conventional power plants. This will limit the impact of global warming on the UAE and others.",Environmental resource management; Building-integrated photovoltaics; Engineering; Environmental economics; Economic cost; Capital cost; Electricity; Tariff; Photovoltaic system; Electricity generation; Subsidy,http://dx.doi.org/10.1016/j.rser.2012.01.048,journal article,United Arab Emirates University,ae
1,025-264-529-973-31X,Analysis of cooling load on commercial building in UAE climate using building integrated photovoltaic facade system,2020,"Abstract In this study the details of energy consumption and its cost were studied and analyzed for a commercial office building in United Arab Emirates (UAE) as hot, dry and humid region where the cooling load is very high. Two different cases were simulated namely (a) base case without photovoltaic (PV) with normal glass windows (b) building integrated photovoltaic (BIPV) facade system with transparent PV windows. The building size, space layout, dimensions, shape and orientation for both cases were exactly the same. The PVSYST software was used to determine the best orientation for BIPV facade system installation to minimize the cooling load and maximize the electrical energy production. The amorphous silicon thin film was used for case (b) along with the weather data for the building location in Sharjah, UAE. The cooling load inside the building and its cost were evaluated for both cases. The use of BIPV facade system case in hot, dry and humid region saved the annual electrical consumption for the air conditioning system by 27.69% while it reduced the yearly energy cost by US$ 2084. Such a study would offer data at critical climate conditions necessary for the design and future implementation of this system in the Emirate of Sharjah.",Air conditioning; Building-integrated photovoltaics; Civil engineering; Software; Facade; Energy consumption; Cooling load; Environmental science; Photovoltaic system; Electric potential energy,http://dx.doi.org/10.1016/j.solener.2020.02.062,journal article,University of Sharjah,ae
2,027-744-670-690-808,A Novel BIPV Reconfiguration Algorithm for Maximum Power Generation under Partial Shading,2020,"The feasibility of electricity production via solar energy in the Middle East is high due to the enormous value of solar radiation. Building-integrated photovoltaics (BIPV) are systems used to utilise the unused spaces that can be installed on the facade or roof by replacing the building’s main element. However, the main problem associated with electricity production by BIPV is partial shading on the roof, which can produce multiple hot spots and disturbances to the system if the insolation values within the whole BIPV array vary. Partial shading, in this case, is observed due to the complexly shaped roof. This paper studies the partial shading effect on one of Qatar’s most recent projects (metro stations), and models the Education City station, which is a major station. The rooftop is complex, and it has many wavy shapes that can affect the BIPV system’s performance. The station is modelled using building-information modelling (BIM) software, wherein all of the station’s models are gathered and linked using BIM software to illustrate the BIPV and indicate the solar insolation distribution on the rooftop by simulating the station’s rooftop. The system is optimised for maximum yield to determine the optimal configuration and number of modules for each string using a genetic algorithm. The outcomes from the algorithm are based on clustering the solar insolation values and then applying a genetic algorithm optimisation to indicate the optimum BIPV array layout for maximum yield.",Building-integrated photovoltaics; Maximum power principle; Automotive engineering; Roof; Computer science; Electricity generation; Solar energy; Photovoltaics; Building information modeling; Insolation,http://dx.doi.org/10.3390/en13174470,journal article,Khalifa University,ae
3,029-815-005-033-910,Energy analysis of facade-integrated photovoltaic systems applied to UAE commercial buildings,2010,"Abstract Developments in the design and manufacture of photovoltaic cells have recently been a growing concern in the UAE. At present, the embodied energy pay-back time (EPBT) is the criterion used for comparing the viability of such technology against other forms. However, the impact of PV technology on the thermal performance of buildings is not considered at the time of EPBT estimation. If additional energy savings gained over the PV system life are also included, the total EPBT could be shorter. This paper explores the variation of the total energy of building integrated photovoltaic systems (BiPV) as a wall cladding system applied to the UAE commercial sector and shows that the ratio between PV output and saving in energy due to PV panels is within the range of 1:3–1:4. The result indicates that for the southern and western facades in the UAE, the embodied energy pay-back time for photovoltaic system is within the range of 12–13 years. When reductions in operational energy are considered, the pay-back time is reduced to 3.0–3.2 years. This study comes to the conclusion that the reduction in operational energy due to PV panels represents an important factor in the estimation of EPBT.",Building-integrated photovoltaics; Payback period; Automotive engineering; Embodied energy; Solar architecture; Facade; Solar cell; Environmental science; Photovoltaic system; Solar energy,http://dx.doi.org/10.1016/j.solener.2010.10.002,journal article,United Arab Emirates University,ae
4,043-746-969-501-003,On the value of decentralised PV systems for the GCC residential sector,2011,"Based on the rich natural potential of the Gulf region, solar energy is expected to play a greater role in the future of the Gulf Corporation Council (GCC) countries. This study examines whether the integration of the photovoltaic (PV) into individual residential buildings in the GCC countries is worth the investment. A prototype residential building is developed and a building integrated photovoltaic (BiPV) system is then designed. The system performance is simulated, and through economic analysis, it is shown that the current BiPV technology is not a cost-effective option for the GCC countries based on the present electricity tariff, PV system cost and system efficiency. The only way such a system would be viable with current technology is if the electricity tariff were to increase substantially. However, if the tariff remains constant for the foreseeable future, BiPV solar energy technology will only be feasible if the total system cost drops drastically. This study shows that BiPV systems offer cost reductions in both energy and economic terms over centralised PV plants, especially if the costs of avoided building construction materials are taken into account. To bring about the benefits of BiPV technology for the GCC residential sector, therefore, the first logical and most practical step is the implementation of a continuous promotion strategy that consists of both subsidies for investments and reasonable tariffs.",Environmental resource management; Building-integrated photovoltaics; Engineering; Environmental economics; Electricity; Tariff; Investment (macroeconomics); Photovoltaic system; Solar energy; Promotion (rank); Subsidy,http://dx.doi.org/10.1016/j.enpol.2011.01.038,journal article,United Arab Emirates University,ae
5,045-707-044-872-516,Building integrated photovoltaic (BIPV) in the United Arab Emirates — Tool and case study,2009,The main objective of this project is to design a comprehensive tool that performs technical and economical analysis for building integrated photovoltaic (BIPV). This tool will be used to propose a BIPV villa design for the UAE real-state market. MATLAB-based tool was designed to perform a full technical and economical analysis for grid-tied PV systems. The designed tool carries out number of consecutive technical analysis procedures. A large database that includes various PV modules and inverters is used. The developed tool is flexible and can be easily adapted to changes in PV technologies and weather data worldwide.,Building-integrated photovoltaics; Technical analysis; Renewable energy; Systems engineering; MATLAB; Weather data; Computer science; Photovoltaic system; Solar energy; Photovoltaics,http://dx.doi.org/10.1109/ieeegcc.2009.5734264,conference article,United Arab Emirates University,ae
6,048-904-688-741-791,Maximum Power Point Box (MPPB) Design to Advance BIPV Installations on Residential Properties,2021,"Photovoltaic installations on residential properties gained high momentums during the past decade. Building integrated photovoltaic materials are well developed and has the potential to advance the photovoltaic systems installations on residential and commercial buildings. One of the main limitations on residential system is the utility allowable AC power generation. The installation of BIPV on houses offer numerous orientation and tilts of the PV system which ensure sun energy is harvested for wider timeframe. The different orientations and tilts reflect changes in the generate output power. The available residential inverters have one of two MPPTs which limit the orientation and tilts of the system to a maximum of two options per inverter.  Adding more inverters will add cost burden on the system, exceed the utility maximum allowable AC power generation, and additional inverters will not work at rated power throughout the day. The works in this paper include the detail design of a maximum power point box (MPPB) that harvest the sun energy for different orientations and tilts, manage and regulate the DC Bus Bar voltage level as well as generated DC power prior the inverter input terminal. The process is governed by an input from the inverter using an industrial communication protocol such as MODBUS. The aim of the box is to reduce the number of inverters required for maximum power generation while maintaining the maximum AC limits set the by utilities. The paper includes the details design with the proposed circuit along its optimum logics. Case study is also included Photovoltaic installations on residential properties gained high momentums during the past decade. Building integrated photovoltaic materials are well developed and has the potential to advance the photovoltaic systems installations on residential and commercial buildings. One of the main limitations on residential system is the utility allowable AC power generation. The installation of BIPV on houses offer numerous orientation and tilts of the PV system which ensure sun energy is harvested for wider timeframe. The different orientations and tilts reflect changes in the generate output power. The available residential inverters have one of two MPPTs which limit the orientation and tilts of the system to a maximum of two options per inverter. Adding more inverters will add cost burden on the system, exceed the utility maximum allowable AC power generation, and additional inverters will not work at rated power throughout the day. The works in this paper include the detail design of a maximum power point box (MPPB) that harvest the sun energy for different orientations and tilts, manage and regulate the DC Bus Bar voltage level as well as generated DC power prior the inverter input terminal. The process is governed by an input from the inverter using an industrial communication protocol such as MODBUS. The aim of the box is to reduce the number of inverters required for maximum power generation while maintaining the maximum AC limits set the by utilities. The paper includes the details design with the proposed circuit along its optimum logics. Case study is also included",AC power; Building-integrated photovoltaics; Inverter; Maximum power principle; Power rating; Automotive engineering; Power management; DC-BUS; Computer science; Photovoltaic system,http://dx.doi.org/10.11591/ijeei.v9i1.2361,journal article,University of Wollongong in Dubai,ae
7,059-201-987-652-05X,Advanced PV System for Sustainable Housing; Maximum Output Power with Low Maintenance for Sandy Area,2019,"Solar photovoltaic energy is playing an important role to support the electrical network for residential and industrial purposes. Nowadays, PV panels are installed on a large area to form an electric power stations or on the roof of residential properties. The PV systems located in sandy area like United Arab Emirate require adequate cleaning to maintain its desirable outputs. The soiling has major effect on the system output. The work in this paper shows the advantages of using the vertical panels for residential properties to achieve the house net zero sustainable design. In addition, the use of building integration photovoltaic (BIPV) is discussed along with its advantages. Case study is included",Building-integrated photovoltaics; Sustainable design; Civil engineering; Work (electrical); Renewable energy; Electrical network; Roof; Environmental science; Electric power; Photovoltaic system,http://dx.doi.org/10.1109/iceerp49088.2019.8956973,conference article,American University in Dubai,ae
8,059-503-312-940-348,Predicting the electrical behavior of grid-tied photovoltaic systems in Al Ain - UAE / model and case study,2008,"Technologies of solar energy offer a clean, renewable and domestic energy source, and are essential components of a sustainable energy future. Conventionally, PV modules used to be located over the roof, but presently and with the advances in photovoltaic technologies a new emerging field of application science the building integrated photovoltaic (BIPV) is taking place worldwide. In this newly emerging field PV cells are incorporated with horizontal and vertical elements of the building envelop such as windows and solar louvers. In this paper a computer modeling tool is developed to predict PV system power generation in typical housing of the United Arab Emirates (UAE). This MATLAB-based tool uses daily weather data for the location in UAE under investigation. A large database that includes various PV modules and inverters was built. Using this tool, 20 degree PV module tilt angle proved to produce the maximum power across the whole year in Al-Ain city - UAE. The results obtained were validated in comparison to other data collected from different cities. Moreover, this tool is flexible and can be easily adapted to changes in PV technologies and weather data.",Building-integrated photovoltaics; Engineering; Civil engineering; Automotive engineering; Rooftop photovoltaic power station; Grid parity; Renewable energy; Grid-connected photovoltaic power system; Photovoltaic mounting system; Energy source; Photovoltaic system,http://dx.doi.org/10.1109/icset.2008.4747048,conference article,United Arab Emirates University,ae
9,063-695-971-536-529,The potential of phase change materials in mitigating cooling load of buildings in UAE,2019,"Integration of phase change materials (PCM) into building elements is explored extensively in the last decade to reduce air-conditioning demand for indoor thermal comfort. The PCM could absorb and release thermal energy as latent heat in a narrow temperature range. Several experimental studies reported energy saving and indoor temperature drop in summer conditions. However, the matter is sparsely researched in the environment of the United Arab Emirates (UAE), a region of high heat flux throughout the year. The current research provides an overview of the integration of PCM in buildings for indoor thermal comfort and energy saving in the UAE. The research highlights the problems of building-integrated photovoltaics (BIPV), e.g. efficiency drop. The significance of the PCM application in the built environment and its research gap is highlighted by reporting all the previous findings on the topic including the application of PCM in glazing, concrete and BIPV.",Thermal energy; Building-integrated photovoltaics; Thermal comfort; Civil engineering; Built environment; Cooling load; Environmental science; Glazing; Photovoltaics; Latent heat,http://dx.doi.org/10.1093/ijlct/ctz042,journal article,United Arab Emirates University,ae
