Lens ID,Title,External URL,status,error
107-081-420-972-648,Luminescence quenching of Ru(BIPY)32+ on clays with Cu 2+ and Fe (CN) 63-,https://www.persee.fr/doc/sgeol_0302-2684_1990_act_86_1_2127,200,
126-103-021-058-967,Building-integrated photovoltaics: A case study,http://ui.adsabs.harvard.edu/abs/1995STIN...9528396K/abstract,200,
074-792-606-052-431,ABSTRACT THE POTENTIAL ELECTRICITY GENERATING CAPACITY OF BIPV IN HONG KONG,http://ieeexplore.ieee.org/iel4/5262/14261/00654339.pdf,200,bad
175-764-043-109-61X,Photovoltaics (PV) - electricity from the sun,https://inis.iaea.org/Search/search.aspx?orig_q=RN:30021177,200,
002-925-836-276-814,The world's largest photovoltaic hotel roof project: A case study of the Mauna Lani Bay Hotel PowerGuard{reg_sign} system,http://www.osti.gov/scitech/biblio/20030574-world-largest-photovoltaic-hotel-roof-project-case-study-mauna-lani-bay-hotel-powerguard-reg_sign-system,200,
156-736-383-791-160,Technique for monitoring and predicting annual performance of a building integrated photovoltaic system,http://www.osti.gov/scitech/biblio/20030595-technique-monitoring-predicting-annual-performance-building-integrated-photovoltaic-system,200,
109-193-778-610-069,Design of a building-integrated photovoltaic system in Hong Kong,http://www.osti.gov/scitech/biblio/20030603,200,
125-756-872-379-496,Building integrated PV for commercial industry,http://www.osti.gov/scitech/biblio/5838484-building-integrated-pv-commercial-industry,200,
193-254-861-224-487,ON-SITE BlPV ARRAY SHADING EVALUATION TOOL US1 NG STEREO-FISH EY E PHOTOGRAPHS,http://ieeexplore.ieee.org/iel5/7320/19792/00916204.pdf,200,bad
089-034-661-940-652,Towards a CEmark for PV building integrated systems,https://www.narcis.nl/publication/RecordID/oai%3Apure.tue.nl%3Apublications%2Fc537e68c-612b-4272-9e6f-2c449d947a98,200,
129-692-156-550-796,Economics of Building Integrated PV in China,https://udspace.udel.edu/handle/19716/1087,200,
006-351-528-654-399,Considering Photovoltaic Technology as a part of the building material,https://www.witpress.com/elibrary/wit-transactions-on-ecology-and-the-environment/54/741,200,
026-520-539-999-034,Power generating behavior of thin-film silicon hybrid solar cell systems in Japan,http://ieeexplore.ieee.org/iel5/9136/28988/01305030.pdf,200,bad
171-565-044-613-562,BIPV installations worldwide in ASI/sup /spl reg// technology,http://ieeexplore.ieee.org/iel5/9136/28988/01305067.pdf,200,bad
186-945-946-637-132,CASE STUDIES FOR BUILDING INTEGRATED PHOTOVOLTAIC (BIPV) FACADES IN THE UNITED STATES,http://www.rio12.com/rio3/proceedings/RIO3_447_A_O_Pereira.pdf,200,bad
019-729-451-752-946,The importance of sensors in the determination of BIPV parameters and installation energy yield,https://eprints.soton.ac.uk/53831/,200,
189-462-693-354-275,Building integrated photovoltaics (BIPV) module design & experience in Japan,https://ieeexplore.ieee.org/iel5/9136/28993/01306340.pdf,200,bad
006-688-012-647-706,Building-integrated photovoltaic application - its practice in Hong Kong,https://ieeexplore.ieee.org/document/1305097/,200,
009-043-541-262-394,High performance ratios of a double-junction a-Si BIPV grid-connected installation after five years of continuous operation in Brazil,https://ieeexplore.ieee.org/document/1305014/,200,
009-062-879-834-795,Performance analysis of a grid-connected building integrated photovoltaic system,https://pure.ulster.ac.uk/en/publications/performance-analysis-of-a-grid-connected-building-integrated-phot-3,200,
059-598-484-401-732,Energy loss due to shading in a BIPV application,https://ieeexplore.ieee.org/document/1305026/,200,
199-776-723-754-101,Performance analysis and reliability of grid-connected PV systems in IEA countries,https://ieeexplore.ieee.org/document/1305009/,200,
