Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
CU7VWRBA,journalArticle,1990,"Vliers, D. P.; Van de Vliet, Brigitte; Schoonheydt, Robert A.; De Schryver, Frans C.",Luminescence quenching of Ru(BIPY)32+ on clays with Cu 2+ and Fe (CN) 63-,"Sciences Géologiques, bulletins et mémoires",,,,https://www.persee.fr/doc/sgeol_0302-2684_1990_act_86_1_2127,"The emission of Ru(bipv)₃²⁺ , adsorbed on hectorite, laponite and barasym, is quenched by Cu²⁺ and by Fe(CN)³⁻. The reaction rates increase in the order hectorite < barasym < laponite. and, for each clay, increase with increasing loading with Ru(bipy)₃²⁺. In the limit of zero quencher concentration Stern-Volmer kinetics are followed. The Stern-Volmer constants reflect the concentration of Cu2+ in the surface phase and the repulsion of Fe(CN)₆³⁻ by the clay. On barasym Ru(bipy)₃²⁺ is initially adsorbed on the external surface only, where it undergoes self -quenching.",1990,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,51-58,,1,86,,,,,,,,,,eng,free,,,,www.persee.fr,,Publisher: Persée - Portail des revues scientifiques en SHS,,/Users/jmccarty/Zotero/storage/L7VA5MW5/sgeol_0302-2684_1990_act_86_1_2127.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMZIDFIU,journalArticle,1995,"Kiss, G.; Kinkead, J.; Raman, M.",Building-integrated photovoltaics: A case study,NASA STI/Recon Technical Report N,,,,https://ui.adsabs.harvard.edu/abs/1995STIN...9528396K,"In 1992, Kiss Cathcart Anders Architects performed a study for NREL on Building-Integrated Photovoltaics (BIPV) issues as seen from the perspective of the building community. In general, the purpose of the study was to list major issues and potential applications; by it's nature it asked more questions than it answered. This second phase study was to produce quantitative data on the performance of specific BIPV systems. Only roof systems are evaluated. The energy performance, construction cost and simple payback for five different BIPV roof options are evaluated in six different locations: Oakland, New York, Miami, Phoenix, Chicago, and Cincinnati. The roof options evaluated include the following: single-glazed PV roof using glass-substrate PVs; double-glazed PV roof with insulating PV modules; ballasted roof-mounted system; sawtooth light monitor roof with indirect north daylighting; sawtooth roof with north light and active heat recovery.",01.03.95,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,28396,,,95,,,Building-integrated photovoltaics,,,,,,,,,,,,NASA ADS,,,,,,,Architecture; Roofs; Insulation; Costs; Energy Production and Conversion; Modules; Personnel; Photovoltaic Conversion; Position (Location); Waste Energy Utilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X28TV785,conferencePaper,1997,"Shijun, You; Hongxing, Yang",The potential electricity generating capacity of BIPV in Hong Kong,Conference Record of the Twenty Sixth IEEE Photovoltaic Specialists Conference - 1997,,,10.1109/PVSC.1997.654339,,This paper reports the analysis results of the solar energy resource and potential electricity generating capacity from building-integrated photovoltaics (BIPV) systems in Hong Kong. The monthly average daily solar radiation on a horizontal surface and the daily sum distributions of solar radiation show that the solar radiation intensity is quite high in Hong Kong except the wet period from January to March. The mean annual global radiation is 4646.8 MJ/m/sup 2/. The potential electricity generating capacity from BIPV systems is estimated to be 10.5 TWh which is about 35% of the total annual electricity supply (29.9 TWh) in Hong Kong in 1995 if the shadow facades of the high-rise buildings are excluded. The BIPV electricity prices are estimated and compared with the local grid electricity prices. The results illustrate a bright future for BIPV applications in the next century in Hong Kong.,1997-09,20.07.21 15:37,20.07.21 15:37,,1345-1348,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 0160-8371,,/Users/jmccarty/Zotero/storage/52QHTZIY/;jsessionid=Va7EkJPecXLApWfox5e8a2iFTcduq4_xjGt5sTe5LABkjyCElvyn!-1146209717.html,,,Solar energy; Solar radiation; Meteorology; Photovoltaic systems; Building integrated photovoltaics; Electric potential; Observatories; Power generation; Sea surface; Solar power generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conference Record of the Twenty Sixth IEEE Photovoltaic Specialists Conference - 1997,,,,,,,,,,,,,,,
WKWPJ8XG,journalArticle,1998,"Davies, D.; Ruyssevelt, P.; Munro, D.; Bates, J.",Photovoltaics (PV) - electricity from the sun,Investment in renewable energy. Proceedings,,,,http://inis.iaea.org/Search/search.aspx?orig_q=RN:30021177,,1998,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,,,,,,,,,,,,,,English,,,,,inis.iaea.org,,,,/Users/jmccarty/Zotero/storage/GBK4NS9U/search.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42XTLIMY,report,1999,"Shugar, D. S.; Saito, R.",The world's largest photovoltaic hotel roof project: A case study of the Mauna Lani Bay Hotel PowerGuard{reg_sign} system,,,,,https://www.osti.gov/biblio/20030574-world-largest-photovoltaic-hotel-roof-project-case-study-mauna-lani-bay-hotel-powerguard-reg_sign-system,The U.S. Department of Energy's Office of Scientific and Technical Information,01.07.99,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,,,,,,,The world's largest photovoltaic hotel roof project,,,,,"American Society of Mechanical Engineers, New York, NY (US)",,English,,,,,www.osti.gov,,,,/Users/jmccarty/Zotero/storage/BHJ8VQZG/20030574-world-largest-photovoltaic-hotel-roof-project-case-study-mauna-lani-bay-hotel-powergua.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTVH2LXC,report,1999,"Azerbegi, R. J.; Barker, G.",Technique for monitoring and predicting annual performance of a building integrated photovoltaic system,,,,,https://www.osti.gov/biblio/20030595-technique-monitoring-predicting-annual-performance-building-integrated-photovoltaic-system,The U.S. Department of Energy's Office of Scientific and Technical Information,01.07.99,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,,,,,,,,,,,,"American Society of Mechanical Engineers, New York, NY (US)",,English,,,,,www.osti.gov,,,,/Users/jmccarty/Zotero/storage/EJG5J2PK/20030595-technique-monitoring-predicting-annual-performance-building-integrated-photovoltaic-sy.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTZ99534,report,1999,"Hongxing, Y.; Burnett, J.",Design of a building-integrated photovoltaic system in Hong Kong,,,,,https://www.osti.gov/biblio/20030603,The U.S. Department of Energy's Office of Scientific and Technical Information,01.07.99,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,,,,,,,,,,,,"American Society of Mechanical Engineers, New York, NY (US)",,English,,,,,www.osti.gov,,,,/Users/jmccarty/Zotero/storage/2SP68BL5/20030603.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD2NJYE5,report,2000,"Eiffert, P.; Kiss, G.",Building integrated PV for commercial industry,,,,,https://www.osti.gov/biblio/5838484-building-integrated-pv-commercial-industry,The U.S. Department of Energy's Office of Scientific and Technical Information,14.02.00,20.07.21 15:37,20.07.21 15:37,20.07.21 15:37,,,,,,,,,,,,"Golden, CO (United States); National Renewable Energy Laboratory",,English,,,,,www.osti.gov,,,,/Users/jmccarty/Zotero/storage/YG5ACSPA/Eiffert and Kiss - 2000 - Building integrated PV for commercial industry.pdf; /Users/jmccarty/Zotero/storage/JVXVEAYZ/5838484-building-integrated-pv-commercial-industry.html,,,,,,,,,,,,,,,,,,,,,,NREL/BK-520-25272,,,,,,,,,,,,,,,,,,,,,,,,,,,
335ZD4RL,conferencePaper,2000,"Tomori, T.; Otani, K.; Sakuta, K.; Kurokawa, K.",On-site BIPV array shading evaluation tool using stereo-fisheye photographs,Conference Record of the Twenty-Eighth IEEE Photovoltaic Specialists Conference - 2000 (Cat. No.00CH37036),,,10.1109/PVSC.2000.916204,,"It is difficult to estimate precisely total irradiance on photovoltaic (PV) arrays without consideration of the effect of shadow by surroundings, especially for building integrated photovoltaic (BIPV) systems in an urban area. The accurate evaluation of actual irradiation on the arrays may contribute to the verification of the performance of PV systems. In this research, the authors propose the method of calculating the shading factor by applying the photo survey method using fisheye photographs to capture whole surroundings. The shading factor is defined as the ratio of actual irradiation on PV arrays to ideal irradiation with no shading modules. Actual irradiation on a certain array can be calculated easily by using the shading factor.",2000-09,20.07.21 15:38,20.07.21 15:38,,1599-1602,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 0160-8371,,/Users/jmccarty/Zotero/storage/BL9MTM8P/;jsessionid=pXfEkRL6nfeURiU7jmqUzMaCIw_dpnPRmV9671LwUiHm8xxq3NaS!-1146209717.html,,,Urban areas; Photovoltaic systems; Building integrated photovoltaics; Solar power generation; Agriculture; Azimuth; Cameras; Equations; Gas discharge devices; Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conference Record of the Twenty-Eighth IEEE Photovoltaic Specialists Conference - 2000 (Cat. No.00CH37036),,,,,,,,,,,,,,,
X8AWY6ZF,conferencePaper,2000,"Jol, J.C.; Bloem, J.J.; Cross, B.M.; Sandberg, M.; Wambach, K.; Wiesner, W.; Zolingen, van R.J.Ch.; Schalkwijk, van M.; Energy Technology",Towards a CEmark for PV building integrated systems,Proc. 16th European Photovoltaic Solar Energy Conference,,,,https://research.tue.nl/nl/publications/c537e68c-612b-4272-9e6f-2c449d947a98,"The European projects Prescript and Precede aim to pave the way for the development of a procedure to obtain a CE mark for building integrated PV. Prescript has carried out a survey of national building standards and performaed a series of tests on BIPV systems. Prescript has resulted in a proposal for a pre-standard for testing BIPV systems. Procede aims to develop a CE mark for BIPV system via the development of a European Technical Approval Guideline. The guideline will be developed, after a mandate of te EC has been given, in close co-operation with PV industy in the European countries",2000,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,,,en,,,,,www.narcis.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
